SLURM NODE: kn055
[I 2026-02-23 04:49:56,738] A new study created in RDB with name: R8-Sliding_windows
[I 2026-02-24 19:07:07,564] Trial 33 finished with value: 0.9452735064421036 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 8, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.3, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 20:01:06,020] Trial 34 finished with value: 0.947168565195706 and parameters: {'batch_size': 16, 'window_size': 5, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.2, 'learning_rate': 0.0003, 'weight_decay': 0.001}. Best is trial 23 with value: 0.9587732201463286.
[I 2026-02-24 20:38:52,393] Trial 35 finished with value: 0.9619156391880381 and parameters: {'batch_size': 128, 'window_size': 3, 'attention_heads': 1, 'hidden_dimension': 32, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-24 21:29:37,293] Trial 36 finished with value: 0.94843576780432 and parameters: {'batch_size': 32, 'window_size': 3, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 2, 'dropout_rate': 0.2, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-24 22:17:46,463] Trial 37 finished with value: 0.9419780597198306 and parameters: {'batch_size': 64, 'window_size': 2, 'attention_heads': 4, 'hidden_dimension': 32, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-24 23:00:45,396] Trial 38 finished with value: 0.9516258011255294 and parameters: {'batch_size': 64, 'window_size': 5, 'attention_heads': 6, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.1, 'learning_rate': 0.001, 'weight_decay': 1e-06}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-24 23:53:54,813] Trial 39 finished with value: 0.9517676687849073 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 6, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.1, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 01:36:39,973] Trial 40 finished with value: 0.9412730918290783 and parameters: {'batch_size': 16, 'window_size': 2, 'attention_heads': 1, 'hidden_dimension': 64, 'number_of_hidden_layers': 1, 'dropout_rate': 0.3, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 03:16:06,956] Trial 41 finished with value: 0.9504463398252452 and parameters: {'batch_size': 16, 'window_size': 4, 'attention_heads': 4, 'hidden_dimension': 64, 'number_of_hidden_layers': 0, 'dropout_rate': 0.4, 'learning_rate': 1e-05, 'weight_decay': 0.001}. Best is trial 35 with value: 0.9619156391880381.
[I 2026-02-25 03:52:19,562] Trial 42 finished with value: 0.9370771986332036 and parameters: {'batch_size': 128, 'window_size': 5, 'attention_heads': 2, 'hidden_dimension': 128, 'number_of_hidden_layers': 2, 'dropout_rate': 0.4, 'learning_rate': 0.0003, 'weight_decay': 0.0001}. Best is trial 35 with value: 0.9619156391880381.
