dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
IMDb-1k,validation,97,0.8,0.95,835,405,1059,330,768,2233,2
IMDb-1k,validation,11,0.8,0.95,760,423,1043,338,768,2239,2
IMDb-1k,validation,65,0.8,0.95,969,471,1256,381,768,2802,2
IMDb-1k,validation,86,0.8,0.95,753,378,1005,312,768,2095,2
IMDb-1k,validation,6,0.8,0.95,861,483,1100,396,768,2802,2
IMDb-1k,validation,27,0.8,0.95,838,358,1137,390,768,2596,2
IMDb-1k,validation,76,0.8,0.95,955,441,1241,420,768,2972,2
IMDb-1k,validation,142,0.8,0.95,798,412,1082,350,768,2317,2
IMDb-1k,validation,38,0.8,0.95,859,444,1138,357,768,2430,2
IMDb-1k,validation,41,0.8,0.95,882,364,1112,362,768,2517,2
IMDb-1k,validation,4,0.8,0.95,762,381,1022,319,768,2158,2
IMDb-1k,validation,138,0.8,0.95,751,433,1022,348,768,2314,2
IMDb-1k,validation,32,0.8,0.95,806,388,1099,354,768,2325,2
IMDb-1k,validation,144,0.8,0.95,890,407,1213,403,768,2787,2
IMDb-1k,validation,109,0.8,0.95,757,408,994,327,768,2158,2
IMDb-1k,validation,68,0.8,0.95,746,367,956,295,768,2015,2
IMDb-1k,validation,10,0.8,0.95,870,402,1145,359,768,2421,2
IMDb-1k,validation,96,0.8,0.95,899,455,1247,400,768,2867,2
IMDb-1k,validation,111,0.8,0.95,860,459,1176,347,768,2386,2
IMDb-1k,validation,0,0.8,0.95,941,477,1301,436,768,2913,2
IMDb-1k,validation,122,0.8,0.95,938,448,1270,396,768,2845,2
IMDb-1k,validation,123,0.8,0.95,789,393,970,313,768,2228,2
IMDb-1k,validation,64,0.8,0.95,801,335,1025,371,768,2466,2
IMDb-1k,validation,44,0.8,0.95,946,445,1244,356,768,2553,2
IMDb-1k,validation,146,0.8,0.95,772,346,939,290,768,2018,2
IMDb-1k,validation,28,0.8,0.95,815,406,1058,322,768,2246,2
IMDb-1k,validation,40,0.8,0.95,915,488,1234,404,768,2863,2
IMDb-1k,validation,114,0.8,0.95,799,411,1028,322,768,2208,2
IMDb-1k,validation,25,0.8,0.95,879,365,1126,333,768,2268,2
IMDb-1k,validation,23,0.8,0.95,888,403,1099,325,768,2361,2
IMDb-1k,validation,119,0.8,0.95,847,396,1099,358,768,2434,2
IMDb-1k,validation,81,0.8,0.95,923,416,1186,366,768,2578,2
IMDb-1k,validation,79,0.8,0.95,865,407,1159,341,768,2320,2
IMDb-1k,validation,39,0.8,0.95,951,435,1164,364,768,2620,2
IMDb-1k,validation,90,0.8,0.95,770,381,1036,312,768,2066,2
IMDb-1k,validation,108,0.8,0.95,754,375,970,330,768,2208,2
IMDb-1k,validation,160,0.8,0.95,752,324,1002,296,768,1983,2
IMDb-1k,validation,137,0.8,0.95,820,424,1044,335,768,2305,2
IMDb-1k,validation,47,0.8,0.95,840,336,1103,362,768,2383,2
IMDb-1k,validation,124,0.8,0.95,784,403,997,364,768,2422,2
IMDb-1k,validation,61,0.8,0.95,845,439,1207,373,768,2525,2
IMDb-1k,validation,73,0.8,0.95,809,418,1016,324,768,2205,2
IMDb-1k,validation,33,0.8,0.95,761,415,1008,304,768,2085,2
IMDb-1k,validation,112,0.8,0.95,913,401,1140,377,768,2652,2
IMDb-1k,validation,120,0.8,0.95,913,363,1175,351,768,2387,2
IMDb-1k,validation,128,0.8,0.95,752,371,969,314,768,2131,2
IMDb-1k,validation,62,0.8,0.95,777,423,1036,327,768,2260,2
IMDb-1k,validation,163,0.8,0.95,856,411,1122,352,768,2380,2
IMDb-1k,validation,100,0.8,0.95,824,316,1060,289,768,1990,2
IMDb-1k,validation,104,0.8,0.95,905,423,1349,459,768,2987,2
IMDb-1k,validation,53,0.8,0.95,896,450,1309,455,768,2973,2
IMDb-1k,validation,5,0.8,0.95,1033,408,1392,447,768,3059,2
IMDb-1k,validation,118,0.8,0.95,842,438,1070,354,768,2447,2
IMDb-1k,validation,127,0.8,0.95,866,364,1253,401,768,2653,2
IMDb-1k,validation,152,0.8,0.95,765,419,998,328,768,2181,2
IMDb-1k,validation,49,0.8,0.95,836,378,1095,376,768,2516,2
IMDb-1k,validation,35,0.8,0.95,933,500,1280,407,768,2821,2
IMDb-1k,validation,80,0.8,0.95,835,437,1099,362,768,2486,2
IMDb-1k,validation,77,0.8,0.95,923,498,1235,400,768,2824,2
IMDb-1k,validation,34,0.8,0.95,782,384,984,333,768,2275,2
IMDb-1k,validation,46,0.8,0.95,955,452,1250,419,768,3089,2
IMDb-1k,validation,7,0.8,0.95,825,448,1154,299,768,2055,2
IMDb-1k,validation,43,0.8,0.95,862,412,1105,311,768,2185,2
IMDb-1k,validation,70,0.8,0.95,878,368,1195,379,768,2628,2
IMDb-1k,validation,125,0.8,0.95,868,401,1176,343,768,2452,2
IMDb-1k,validation,110,0.8,0.95,958,384,1192,361,768,2566,2
IMDb-1k,validation,91,0.8,0.95,946,417,1255,405,768,2959,2
IMDb-1k,validation,83,0.8,0.95,967,549,1254,403,768,2916,2
IMDb-1k,validation,147,0.8,0.95,749,353,1023,337,768,2234,2
IMDb-1k,validation,148,0.8,0.95,963,519,1295,462,768,3078,2
