dataset,split,index,node_threshold,edge_threshold,document_length,unique_words,token_count,node_count,node_embedding_dimension,edge_count,edge_embedding_dimension
R8,validation,741,0.6,0.5,47,31,64,26,768,374,8
R8,validation,514,0.6,0.5,187,119,255,115,768,7428,8
R8,validation,365,0.6,0.5,88,51,170,69,768,2787,8
R8,test,1593,0.6,0.5,86,56,116,53,768,1426,8
R8,test,526,0.6,0.5,38,21,84,35,768,643,8
R8,test,393,0.6,0.5,329,168,412,204,768,23250,8
R8,test,1403,0.6,0.5,79,55,116,52,768,1492,8
R8,test,433,0.6,0.5,76,57,89,52,768,1304,8
Ohsumed,train,655,0.6,0.6,306,155,480,273,768,32863,23
Ohsumed,train,862,0.6,0.6,175,83,276,151,768,10515,23
Ohsumed,train,365,0.6,0.6,176,106,220,135,768,8097,23
Ohsumed,train,2423,0.6,0.6,174,90,264,174,768,13103,23
Ohsumed,train,1514,0.6,0.6,270,138,392,228,768,25163,23
Ohsumed,validation,361,0.6,0.6,160,90,253,142,768,8594,23
Ohsumed,validation,158,0.6,0.6,68,54,105,70,768,1945,23
Ohsumed,validation,481,0.6,0.6,185,95,293,187,768,16060,23
Ohsumed,validation,639,0.6,0.6,202,105,283,187,768,15367,23
Ohsumed,validation,275,0.6,0.6,160,98,290,171,768,13728,23
Ohsumed,test,4004,0.6,0.6,237,126,354,223,768,22156,23
Ohsumed,test,149,0.6,0.6,198,103,334,216,768,20222,23
Ohsumed,test,2025,0.6,0.6,136,80,188,113,768,5722,23
Ohsumed,test,2505,0.6,0.6,161,89,282,169,768,12939,23
Ohsumed,test,3203,0.6,0.6,208,109,310,191,768,16137,23
R8,train,3809,0.6,0.6,18,13,37,16,768,125,8
R8,train,149,0.6,0.6,38,32,51,22,768,236,8
R8,train,3123,0.6,0.6,37,21,74,34,768,492,8
R8,train,3367,0.6,0.6,102,39,136,68,768,1960,8
R8,train,3196,0.6,0.6,95,66,135,65,768,1890,8
R8,validation,628,0.6,0.6,57,41,82,42,768,739,8
R8,validation,631,0.6,0.6,39,35,58,29,768,365,8
