SLURM NODE: kn068
[I 2026-02-05 10:32:40,584] A new study created in RDB with name: IMDb-Fine-tuning
[I 2026-02-05 19:28:10,113] Trial 32 finished with value: 0.9294 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 3e-05, 'weight_decay': 1e-06, 'label_smoothing': 0.15, 'gradient_clipping': 2.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 19:42:49,753] Trial 33 finished with value: 0.9258 and parameters: {'frozen_layers': 0, 'classifier_dropout': 0.3, 'learning_rate': 5e-05, 'weight_decay': 0.001, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 19:56:33,901] Trial 34 finished with value: 0.9226 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 3e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.1, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 20:10:54,708] Trial 35 finished with value: 0.926 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 20:24:36,140] Trial 36 finished with value: 0.9114 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.2, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.0, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 20:38:17,608] Trial 37 finished with value: 0.9108 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.4, 'learning_rate': 0.0001, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.0}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 20:53:59,946] Trial 38 finished with value: 0.9226 and parameters: {'frozen_layers': 6, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 0.001, 'label_smoothing': 0.15, 'gradient_clipping': 0.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 21:08:19,921] Trial 39 finished with value: 0.9264 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.3, 'learning_rate': 2e-05, 'weight_decay': 1e-05, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 21:22:19,499] Trial 40 finished with value: 0.914 and parameters: {'frozen_layers': 4, 'classifier_dropout': 0.4, 'learning_rate': 5e-05, 'weight_decay': 0.0001, 'label_smoothing': 0.05, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
[I 2026-02-05 21:36:38,010] Trial 41 finished with value: 0.907 and parameters: {'frozen_layers': 2, 'classifier_dropout': 0.1, 'learning_rate': 0.0001, 'weight_decay': 0.001, 'label_smoothing': 0.1, 'gradient_clipping': 1.5}. Best is trial 1 with value: 0.9308.
